"Brand","Store Number","Store Name","Ownership Type","Street Address","City","State/Province","Country","Postcode","Phone Number","Timezone","Longitude","Latitude"
"Starbucks","25334-232868","Lam Group @ Sheraton Brooklyn","Licensed","228 Duffield st","Brooklyn","NY","US","11201","718-855-1900","GMT-05:00 America/New_York",-73.98,40.69
"Starbucks","9368-96106","Main St & Front St","Company Owned","67 Front Street","Brooklyn","NY","US","112011001","718-855-0856","GMT-05:00 America/New_York",-73.99,40.7
"Starbucks","23591-231287","Flatbush Ave & Kings Hwy","Company Owned","1927 Flatbush Ave, Atlantic Terminal","Brooklyn","NY","US","11234","3475330430","GMT-05:00 America/New_York",-73.94,40.62
"Starbucks","7704-13119","Flatbush Ave Atlantic Terminal","Company Owned","139 Flatbush Ave, N/A","Brooklyn","NY","US","112171450","718-789-3418","GMT-05:00 America/New_York",-73.98,40.68
"Starbucks","7646-27128","3rd Ave & 92nd St","Company Owned","9202 Third Avenue","Brooklyn","NY","US","112096812","718-492-5331","GMT-05:00 America/New_York",-74.03,40.62
"Starbucks","844-169565","134 Montague Street","Company Owned","134 Montague Street","Brooklyn","NY","US","112013533","7182430455","GMT-05:00 America/New_York",-73.99,40.69
"Starbucks","24401-237441","Gold St & Johnson Street","Company Owned","309 Gold St","Brooklyn","NY","US","11201","(347) 997-2633","GMT-05:00 America/New_York",-73.98,40.69
"Starbucks","13262-107296","910 Manhattan Avenue","Company Owned","910 Manhattan Avenue","Brooklyn","NY","US","112222107","718-609-0467","GMT-05:00 America/New_York",-73.95,40.73
"Starbucks","3438-93385","607 Brighton Beach Ave","Company Owned","607 Brighton Beach Avenue","Brooklyn","NY","US","112356405","718-934-3211","GMT-05:00 America/New_York",-73.96,40.58
"Starbucks","22596-222524","154 N Seventh St","Company Owned","154 N Seventh St","Brooklyn","NY","US","11211","7183840152","GMT-05:00 America/New_York",-73.96,40.72
"Starbucks","18858-191484","Union Ave & Ainslie St","Company Owned","405-409 Union Avenue","Brooklyn","NY","US","11211","7183846936","GMT-05:00 America/New_York",-73.95,40.71
"Starbucks","7441-1994","164 7th Avenue","Company Owned","166 7th Avenue","Brooklyn","NY","US","112152222","718-369-3098","GMT-05:00 America/New_York",-73.98,40.67
"Starbucks","15847-160724","Target Gateway T-1401","Licensed","519 Gateway Dr","Brooklyn","NY","US","112392801","718-235-6032","GMT-05:00 America/New_York",-73.87,40.65
"Starbucks","29856-255547","7th Ave and 9th St","Company Owned","444 Ninth St.","Brooklyn","NY","US","11215","9292148871","GMT-05:00 America/New_York",-73.98,40.67
"Starbucks","7381-1628","Elmwood Avenue","Company Owned","933 Elmwood Avenue","Buffalo","NY","US","142221211","(716) 882-5440","GMT-05:00 America/New_York",-78.88,42.92
"Starbucks","7799-63000","Delaware & Kenmore","Company Owned","2730 Delaware Avenue","Buffalo","NY","US","142161146","716-877-3800","GMT-05:00 America/New_York",-78.87,42.96
"Starbucks","29171-154526","Hyatt Buffalo","Licensed","2 Fountain Plaza, Walden Galleria","Buffalo","NY","US","142022220","716-856-1234","GMT-05:00 America/New_York",-78.87,42.89
"Teavana","28439-249800","Teavana - Walden Galleria","Company Owned","1 GALLERIA DRIVE, SPACE# L 117","BUFFALO","NY","US","14225","716-685-3100","GMT-05:00 America/New_York",-78.76,42.92
"Starbucks","7448-6486","235 Delaware Ave","Company Owned","235 Delaware Avenue, Parkway Plaza","Buffalo","NY","US","142022008","716-853-2356","GMT-05:00 America/New_York",-78.88,42.89
"Starbucks","13353-105357","Canadaigua","Company Owned","10 Muar St.","Canandaigua","NY","US","144242321","585-394-6970","GMT-05:00 America/New_York",-77.26,42.88
"Starbucks","70083-139594","NY Chittenango Travel Plaza","Licensed","2188 Tag Rd, Putnam Plaza","Canastota","NY","US","130324561","315-687-0015","GMT-05:00 America/New_York",-75.84,43.1
"Starbucks","7681-16774","Carmel, Route 6","Company Owned","1876 Route 6","Carmel","NY","US","105122355","845-225-6900","GMT-05:00 America/New_York",-73.67,41.41
"Starbucks","11536-104610","Rockaway Tpke, Cedarhurst","Company Owned","316 Rockaway Tpke.","Cedarhurst","NY","US","115161116","516-371-0238","GMT-05:00 America/New_York",-73.74,40.63
"Starbucks","15617-162705","Target South Setauket T-1191","Licensed","255 Pond Path","Centereach","NY","US","117202007","631-580-5356","GMT-05:00 America/New_York",-73.1,40.88
"Starbucks","7614-28547","Centereach","Company Owned","1942 Middle Country Road","Centereach","NY","US","117203535","(631) 585-8462","GMT-05:00 America/New_York",-73.08,40.86
"Starbucks","76582-96831","Target Central Islip T-2102","Licensed","160 N Research Pl, Woodbury Common Premium Outlet","Central Islip","NY","US","117224458","631-297-2011","GMT-05:00 America/New_York",-73.2,40.77
"Starbucks","7518-12871","Woodbury Commons","Company Owned","400 Evergreen Ct, Route 22","Central Valley","NY","US","109176700","845-928-4744","GMT-05:00 America/New_York",-74.13,41.32
"Starbucks","7326-597","Chappaqua","Company Owned","2 South Greeley Avenue","Chappaqua","NY","US","105143311","(914) 238-2268","GMT-05:00 America/New_York",-73.77,41.16
"Starbucks","27530-244211","Target Cheektowaga T- 1014","Licensed","1750 Walden Avenue","Cheektowaga","NY","US","14225","716-896-0493","GMT-05:00 America/New_York",-78.77,42.91
"Starbucks","7949-95619","Walden & Anderson","Company Owned","1775 Walden Avenue, 500","Cheektowaga","NY","US","142254920","716-895-0380","GMT-05:00 America/New_York",-78.77,42.91
"Starbucks","7879-194264","Walden Galleria","Company Owned","1 Walden Galleria, K-04","Cheektowaga","NY","US","142255408","7166850791","GMT-05:00 America/New_York",-78.76,42.91
"Starbucks","23917-234085","Cheektowaga","Company Owned","4255 Genesee St., Suite 100","Cheektowaga","NY","US","14225","17162630910","GMT-05:00 America/New_York",-78.73,42.93
"Starbucks","76763-100175","Target Cicero T-2295","Licensed","8061 Brewerton Rd","Cicero","NY","US","130398061","315-452-1321","GMT-05:00 America/New_York",-76.12,43.16
"Starbucks","17376-180584","Target Clay T-1475","Licensed","3857 State Route 31","Clay","NY","US","13041","585-652-5157","GMT-05:00 America/New_York",-76.23,43.19
"Starbucks","7664-233944","Clifton Park Center","Company Owned","309 Clifton Park Center Road, Store #1","Clifton Park","NY","US","12065","5183735794","GMT-05:00 America/New_York",-73.78,42.86
"Starbucks","24840-229888","Price Chopper - Clifton Park  #112","Licensed","15 Park Ave","Clifton Park","NY","US","12065","418-383-6780","GMT-05:00 America/New_York",-73.78,42.86
"Starbucks","19911-202866","Target Clifton Park T-1477","Licensed","26 Crossing Blvd","Clifton Park","NY","US","12065","518-371-6520","GMT-05:00 America/New_York",-73.77,42.86
"Starbucks","75888-103954","NY Clifton Springs Travel Plaza","Licensed","3236 Route 96","Clifton Springs","NY","US","144329505","315-462-9755","GMT-05:00 America/New_York",-77.17,42.97
"Starbucks","2783-88801","Commack, Crooked Hill","Company Owned","125 Crooked Hill Road","Commack","NY","US","117255429","631-858-0167","GMT-05:00 America/New_York",-73.29,40.81
"Starbucks","11811-104574","Jericho Tpke, Commack","Company Owned","2055A Jericho Tpke","Commack","NY","US","117253007","631-543-0140","GMT-05:00 America/New_York",-73.27,40.85
"Starbucks","15620-162704","Target Commack T-1108","Licensed","98 Veterans Memorial Hwy","Commack","NY","US","117253432","631-462-8969","GMT-05:00 America/New_York",-73.29,40.84
"Starbucks","27517-243605","Target Commack T-1387","Licensed","4 Henry Street","Commack","NY","US","11725","631-461-5507","GMT-05:00 America/New_York",-73.29,40.81
"Starbucks","20102-145447","Target Copiague T-1147","Licensed","1149 Sunrise Hwy","Copiague","NY","US","117261330","631-841-5056","GMT-05:00 America/New_York",-73.41,40.69
"Starbucks","20631-202184","Cortlandt Manor","Company Owned","3025 East Main Street","Cortlandt Manor","NY","US","10547","8455871881","GMT-05:00 America/New_York",-73.88,41.31
"Starbucks","7455-6446","Deer Park, Rt. 231","Company Owned","1932 Deer Park Avenue, The Arches","Deer Park","NY","US","117293333","631-243-3881","GMT-05:00 America/New_York",-73.33,40.76
"Starbucks","14368-112365","Tanger Outlets, Deer Park","Company Owned","529 The Arches Circle","Deer Park","NY","US","117297061","631-242-0802","GMT-05:00 America/New_York",-73.3,40.76
"Starbucks","76673-104724","Target - Cheektowaga/Depew T-2191","Licensed","4920 Transit Rd","Depew","NY","US","140434625","716-608-2020","GMT-05:00 America/New_York",-78.7,42.88
"Starbucks","7665-42979","Depew, Transit Road","Company Owned","4770 Transit Road","Depew","NY","US","140439700","716-656-9651","GMT-05:00 America/New_York",-78.7,42.87
"Starbucks","11973-100711","Dobbs Ferry","Company Owned","45 Stanley Avenue, Tops Transit Commons Shopping Ctr.","Dobbs Ferry","NY","US","105223405","9146745940","GMT-05:00 America/New_York",-73.86,41
"Starbucks","10750-102304","East Amherst","Company Owned","9660 Transit Road, 101","East Amherst","NY","US","140511484","7166361794","GMT-05:00 America/New_York",-78.7,43.03
"Starbucks","22262-214484","Columbia Turnpike, East Greenbush","Company Owned","600 Columbia Turnpike","east greenbush","NY","US","12061","5184774387","GMT-05:00 America/New_York",-73.71,42.6
"Starbucks","7884-46539","East Hampton Village","Company Owned","39 Main Street","East Hampton","NY","US","119372701","6313298645","GMT-05:00 America/New_York",-72.19,40.96
"Starbucks","10329-100400","E. Northport, Larkfield Rd","Company Owned","506 Larkfield Rd","East Northport","NY","US","117314202","631-266-1879","GMT-05:00 America/New_York",-73.32,40.86
"Starbucks","10045-99397","East Northport, Rte. 25","Company Owned","3011 Jericho Tpke.","East Northport","NY","US","117316215","631-499-0258","GMT-05:00 America/New_York",-73.32,40.84
"Starbucks","11974-106157","East Setauket, Nesconset HIghway","Company Owned","4020 Nesconset Highway, Queens Center Mall","East Setauket","NY","US","117333306","631-642-0263","GMT-05:00 America/New_York",-73.07,40.9
"Starbucks","2787-35599","Queens Center Mall","Company Owned","90-15 Queens Boulevard, K203, Elmhurst Plaza","Elmhurst","NY","US","113734900","718-699-7856","GMT-05:00 America/New_York",-73.87,40.73
"Starbucks","17202-177784","Queens Blvd & Broadway","Company Owned","86-51 Broadway, Queens Center","Elmhurst","NY","US","11373","718 5652021","GMT-05:00 America/New_York",-73.88,40.74
"Teavana","28556-250052","Teavana - Queens Center","Company Owned","90-15 Queens Blvd., Spc. #2007","Elmhurst","NY","US","11373","718-699-1201","GMT-05:00 America/New_York",-73.87,40.73
"Starbucks","13133-113948","Target Queens Place T-1344","Licensed","8801 Queens Blvd","Elmhurst","NY","US","113734449","718-760-5656","GMT-05:00 America/New_York",-73.87,40.74
"Starbucks","28125-248127","Elmira College","Licensed","1 Park Pl","Elmira","NY","US","14901","6077351875","GMT-05:00 America/New_York",-76.82,42.1
"Starbucks","47681-259008","Target Elmont T-3237","Licensed","1730 HEMPSTEAD TPK","ELMONT","NY","US","11003","","GMT-05:00 America/New_York",-73.7,40.71
"Starbucks","2788-3042","Perinton Square Mall","Company Owned","6720 Pittsford-Palmyra Rd","Fairport","NY","US","144503342","585-223-4240","GMT-05:00 America/New_York",-77.44,43.07
"Starbucks","17890-171967","Target Fairport T-1195","Licensed","2161 Nine Mile Point Rd","Fairport","NY","US","144508509","585-377-0360","GMT-05:00 America/New_York",-77.44,43.13
"Starbucks","7397-1675","Farmingdale","Company Owned","10 Michael Ave","Farmingdale","NY","US","117353920","631-454-4550","GMT-05:00 America/New_York",-73.42,40.73
"Starbucks","27338-238540","The Plaza at Farmingdale Train","Licensed","121 Secatogue Ave","Farmingdale","NY","US","11735","5167550007","GMT-05:00 America/New_York",-73.44,40.74
"Starbucks","76137-90418","Target Farmingdale T-1866","Licensed","2121 Broadhollow Rd","Farmingdale","NY","US","117351009","","GMT-05:00 America/New_York",-73.42,40.75
"Starbucks","9485-97017","Fayetteville, Syracuse","Company Owned","217 West Genesee Street, Ransley Square","Fayetteville","NY","US","130661355","315-637-3656","GMT-05:00 America/New_York",-76.02,43.03
"Starbucks","10047-98475","Fishkill, Ransley Square","Company Owned","11 Merrit Boulevard (Route 9)","Fishkill","NY","US","125242947","845-897-1201","GMT-05:00 America/New_York",-73.89,41.53
"Starbucks","76351-97134","Target Flushing T-1150","Licensed","13505 20th Ave","Flushing","NY","US","113562446","718-661-4346","GMT-05:00 America/New_York",-73.83,40.78
"Starbucks","7539-12698","Main St & 41St Ave","Company Owned","41-02 Main Street","Flushing","NY","US","113553133","718-358-9355","GMT-05:00 America/New_York",-73.83,40.76
"Starbucks","9077-145446","Target Flushing T-2451","Licensed","40-24 College Point Blvd","Flushing","NY","US","113545105","347-532-9942","GMT-05:00 America/New_York",-73.83,40.76
"Starbucks","23593-231144","3805 Main St","Company Owned","3805 Main St","Flushing","NY","US","11354","718-445-0354","GMT-05:00 America/New_York",-73.83,40.76
"Starbucks","7217-623","7000 Austin Street","Company Owned","7000 Austin Street","Forest Hills","NY","US","113751022","718-268-4719","GMT-05:00 America/New_York",-73.85,40.72
"Starbucks","7897-82740","Queens Blvd & 67th Rd","Company Owned","10102 Queens Blvd.","Forest Hills","NY","US","113752749","718-459-6923","GMT-05:00 America/New_York",-73.85,40.73
"Starbucks","7349-910","107-12 Continental Avenue","Company Owned","107-12 Continental Avenue","Forest Hills","NY","US","11375","(718) 793-4057","GMT-05:00 America/New_York",-73.84,40.72
"Starbucks","73708-104729","Stop & Shop-Forest Hills #539","Licensed","8989 Union Turnpike","Forest Hills","NY","US","11375","718-846-2310","GMT-05:00 America/New_York",-73.86,40.71
"Starbucks","47127-248044","AFFES @ Fort Drum","Licensed","10730 Memorial Dr # B","Fort Drum","NY","US","13602","315-773-0065","GMT-05:00 America/New_York",-75.81,44.05
